time,load actual
2017-04-16,516274.00
2017-04-17,571812.00
2017-04-18,651788.00
2017-04-19,673068.00
2017-04-20,675699.00
2017-04-21,672197.00
2017-04-22,608825.00
2017-04-23,556155.00
2017-04-24,638198.00
2017-04-25,676559.00
2017-04-26,683160.00
2017-04-27,690605.00
2017-04-28,686183.00
2017-04-29,616549.00
2017-04-30,562736.00
2017-05-01,713121.00
2017-05-02,622623.00
2017-05-03,615617.00
2017-05-04,684558.00
2017-05-05,676491.00
2017-05-06,657715.00
2017-05-07,749916.00
2017-05-08,716777.00
2017-05-09,744836.00
2017-05-10,715193.00
2017-05-11,561029.00
2017-05-12,812060.00
2017-05-13,603213.00
2017-05-14,550106.00
2017-05-15,647266.00
2017-05-16,685656.00
2017-05-17,683127.00
2017-05-18,677744.00
2017-05-19,666308.00
2017-05-20,603024.00
2017-05-21,560680.00
2017-05-22,668257.00
2017-05-23,692559.00
2017-05-24,703196.00
2017-05-25,713132.00
2017-05-26,709089.00
2017-05-27,633924.00
2017-05-28,573426.00
2017-05-29,675830.00
2017-05-30,688900.00
2017-05-31,693916.00
2017-06-01,608551.00
2017-06-02,736247.00
2017-06-03,701372.00
2017-06-04,680895.00
2017-06-05,605866.00
2017-06-06,694414.00
2017-06-07,738511.00
2017-06-08,646500.00
2017-06-09,749317.00
2017-06-10,707696.00
2017-06-11,675665.00
2017-06-12,723382.00
2017-06-13,777198.00
2017-06-14,791490.00
2017-06-15,795862.00
2017-06-16,795973.00
2017-06-17,733089.00
2017-06-18,675407.00
2017-06-19,795426.00
2017-06-20,809758.00
2017-06-21,809850.00
2017-06-22,811260.00
2017-06-23,789202.00
2017-06-24,702743.00
2017-06-25,649445.00
2017-06-26,759016.00
2017-06-27,763560.00
2017-06-28,738351.00
2017-06-29,701489.00
2017-06-30,685681.00
2017-07-01,664622.00
2017-07-02,741601.00
2017-07-03,709786.00
2017-07-04,676470.00
2017-07-05,552006.00
2017-07-06,705970.00
2017-07-07,727621.00
2017-07-08,749431.00
2017-07-09,740465.00
2017-07-10,619926.00
2017-07-11,702690.00
2017-07-12,744918.00
2017-07-13,816326.00
2017-07-14,807731.00
2017-07-15,717607.00
2017-07-16,654711.00
2017-07-17,784090.00
2017-07-18,806907.00
2017-07-19,796753.00
2017-07-20,772158.00
2017-07-21,753470.00
2017-07-22,675449.00
2017-07-23,617860.00
2017-07-24,724338.00
2017-07-25,724644.00
2017-07-26,750819.00
2017-07-27,776936.00
2017-07-28,779548.00
2017-07-29,705486.00
2017-07-30,651138.00
2017-07-31,739211.00
2017-08-01,651505.00
2017-08-02,749159.00
2017-08-03,698311.00
2017-08-04,610514.00
2017-08-05,656880.00
2017-08-06,719594.00
2017-08-07,649106.00
2017-08-08,736814.00
2017-08-09,716074.00
2017-08-10,572005.00
2017-08-11,714534.00
2017-08-12,685937.00
2017-08-13,581754.00
2017-08-14,659766.00
2017-08-15,625407.00
2017-08-16,704357.00
2017-08-17,720782.00
2017-08-18,732034.00
2017-08-19,662260.00
2017-08-20,615992.00
2017-08-21,737052.00
2017-08-22,755885.00
2017-08-23,757490.00
2017-08-24,753444.00
2017-08-25,746331.00
2017-08-26,676598.00
2017-08-27,618542.00
2017-08-28,724511.00
2017-08-29,722450.00
2017-08-30,710440.00
2017-08-31,710760.00
2017-09-01,777392.00
2017-09-02,761718.00
2017-09-03,693184.00
2017-09-04,559125.00
2017-09-05,677894.00
2017-09-06,717443.00
2017-09-07,603596.00
2017-09-08,703330.00
2017-09-09,630321.00
2017-09-10,667883.00
2017-09-11,714472.00
2017-09-12,680253.00
2017-09-13,724144.00
2017-09-14,724112.00
2017-09-15,690303.00
2017-09-16,609458.00
2017-09-17,564212.00
2017-09-18,674527.00
2017-09-19,693971.00
2017-09-20,698159.00
2017-09-21,699433.00
2017-09-22,697983.00
2017-09-23,626401.00
2017-09-24,577723.00
2017-09-25,684433.00
2017-09-26,702639.00
2017-09-27,704703.00
2017-09-28,702726.00
2017-09-29,700337.00
2017-09-30,624324.00
2017-10-01,803091.00
2017-10-02,770584.00
2017-10-03,682238.00
2017-10-04,652849.00
2017-10-05,682449.00
2017-10-06,651613.00
2017-10-07,733817.00
2017-10-08,672861.00
2017-10-09,571645.00
2017-10-10,694987.00
2017-10-11,721438.00
2017-10-12,650284.00
2017-10-13,635717.00
2017-10-14,604736.00
2017-10-15,563617.00
2017-10-16,679232.00
2017-10-17,691504.00
2017-10-18,692097.00
2017-10-19,678293.00
2017-10-20,679593.00
2017-10-21,606588.00
2017-10-22,556249.00
2017-10-23,667293.00
2017-10-24,688222.00
2017-10-25,694388.00
2017-10-26,687865.00
2017-10-27,681050.00
2017-10-28,597893.00
2017-10-29,572262.00
2017-10-30,663977.00
2017-10-31,683161.00
2017-11-01,781205.00
2017-11-02,693979.00
2017-11-03,609067.00
2017-11-04,662642.00
2017-11-05,678787.00
2017-11-06,614088.00
2017-11-07,764013.00
2017-11-08,674471.00
2017-11-09,666319.00
2017-11-10,690186.00
2017-11-11,644934.00
2017-11-12,765986.00
2017-11-13,711922.00
2017-11-14,671282.00
2017-11-15,752825.00
2017-11-16,752430.00
2017-11-17,740564.00
2017-11-18,661026.00
2017-11-19,612822.00
2017-11-20,734780.00
2017-11-21,752295.00
2017-11-22,760136.00
2017-11-23,747579.00
2017-11-24,738873.00
2017-11-25,663067.00
2017-11-26,616884.00
2017-11-27,750508.00
2017-11-28,774615.00
2017-11-29,778534.00
2017-11-30,783045.00
2017-12-01,770796.00
2017-12-02,638186.00
2017-12-03,564340.00
2017-12-04,651504.00
2017-12-05,671241.00
2017-12-06,746304.00
2017-12-07,794723.00
2017-12-08,622912.00
2017-12-09,711364.00
2017-12-10,592204.00
2017-12-11,593553.00
2017-12-12,788376.00
2017-12-13,800915.00
2017-12-14,789788.00
2017-12-15,766671.00
2017-12-16,693202.00
2017-12-17,660496.00
2017-12-18,791088.00
2017-12-19,796316.00
2017-12-20,797920.00
2017-12-21,783033.00
2017-12-22,755866.00
2017-12-23,666150.00
2017-12-24,611113.00
2017-12-25,565580.00
2017-12-26,665937.00
2017-12-27,704641.00
2017-12-28,697878.00
2017-12-29,676115.00
2017-12-30,616537.00
2017-12-31,580885.00
2018-01-01,539088.00
2018-01-02,789443.00
2018-01-03,794675.00
2018-01-04,569883.00
2018-01-05,557926.00
2018-01-06,667861.00
2018-01-07,608404.00
2018-01-08,779558.00
2018-01-09,673554.00
2018-01-10,686814.00
2018-01-11,620625.00
2018-01-12,672377.00
2018-01-13,727488.00
2018-01-14,676257.00
2018-01-15,797089.00
2018-01-16,796574.00
2018-01-17,784322.00
2018-01-18,782028.00
2018-01-19,775908.00
2018-01-20,686962.00
2018-01-21,628085.00
2018-01-22,740202.00
2018-01-23,755136.00
2018-01-24,758304.00
2018-01-25,769547.00
2018-01-26,782595.00
2018-01-27,701749.00
2018-01-28,652811.00
2018-01-29,757750.00
2018-01-30,773112.00
2018-01-31,771331.00
2018-02-01,685554.00
2018-02-02,798810.00
2018-02-03,789481.00
2018-02-04,628615.00
2018-02-05,656832.00
2018-02-06,599319.00
2018-02-07,718907.00
2018-02-08,801510.00
2018-02-09,633808.00
2018-02-10,695124.00
2018-02-11,660340.00
2018-02-12,624449.00
2018-02-13,813309.00
2018-02-14,804595.00
2018-02-15,780513.00
2018-02-16,762471.00
2018-02-17,680734.00
2018-02-18,637653.00
2018-02-19,754987.00
2018-02-20,762716.00
2018-02-21,766951.00
2018-02-22,781214.00
2018-02-23,787098.00
2018-02-24,704679.00
2018-02-25,649640.00
2018-02-26,773194.00
2018-02-27,813046.00
2018-02-28,800476.00
2018-03-01,715769.00
2018-03-02,719242.00
2018-03-03,684386.00
2018-03-04,702044.00
2018-03-05,686699.00
2018-03-06,546279.00
2018-03-07,751223.00
2018-03-08,810667.00
2018-03-09,747533.00
2018-03-10,699800.00
